Thu Nov 16 16:50:30 2023
data_dict: {'mean': array([83.93362 , 92.55297 , 91.47328 , 74.63291 , 28.445953],
      dtype=float32), 'std': array([47.080837, 50.655468, 56.94334 , 49.649784, 10.984235],
      dtype=float32), 'classWeights': array([2.727278 , 2.19231  , 4.0622845], dtype=float32), 'img_shape': (512, 512, 5)}
epoch: 2 iter: 29 train_iter_loss: 0.337258 learn_rate: 0.001000 
epoch: 2 iter: 30 train_iter_loss: 0.304360 learn_rate: 0.001000 
epoch: 2 iter: 31 train_iter_loss: 0.319412 learn_rate: 0.001000 
epoch: 2 iter: 32 train_iter_loss: 0.277951 learn_rate: 0.001000 
epoch: 2 iter: 33 train_iter_loss: 0.281786 learn_rate: 0.001000 
epoch: 2 iter: 34 train_iter_loss: 0.258869 learn_rate: 0.001000 
epoch: 2 iter: 35 train_iter_loss: 0.285519 learn_rate: 0.001000 
epoch: 2 iter: 36 train_iter_loss: 0.311757 learn_rate: 0.001000 
epoch: 2 iter: 37 train_iter_loss: 0.325562 learn_rate: 0.001000 
epoch: 2 iter: 38 train_iter_loss: 0.260580 learn_rate: 0.001000 
epoch: 2 iter: 39 train_iter_loss: 0.310331 learn_rate: 0.001000 
epoch: 2 iter: 40 train_iter_loss: 0.278130 learn_rate: 0.001000 
epoch: 2 iter: 41 train_iter_loss: 0.268489 learn_rate: 0.001000 
epoch: 2 iter: 42 train_iter_loss: 0.253212 learn_rate: 0.001000 
epoch: 2 iter: 43 train_iter_loss: 0.316360 learn_rate: 0.001000 
epoch: 2 iter: 44 train_iter_loss: 0.297152 learn_rate: 0.001000 
epoch: 2 iter: 45 train_iter_loss: 0.291174 learn_rate: 0.001000 
epoch: 2 iter: 46 train_iter_loss: 0.319061 learn_rate: 0.001000 
epoch: 2 iter: 47 train_iter_loss: 0.305024 learn_rate: 0.001000 
epoch: 2 iter: 48 train_iter_loss: 0.323029 learn_rate: 0.001000 
epoch: 2 iter: 49 train_iter_loss: 0.256764 learn_rate: 0.001000 
epoch: 2 iter: 50 train_iter_loss: 0.334155 learn_rate: 0.001000 
epoch: 2 iter: 51 train_iter_loss: 0.309942 learn_rate: 0.001000 
epoch: 2 iter: 52 train_iter_loss: 0.275979 learn_rate: 0.001000 
epoch: 2 iter: 53 train_iter_loss: 0.279533 learn_rate: 0.001000 
epoch: 2 iter: 54 train_iter_loss: 0.272124 learn_rate: 0.001000 
epoch: 2 iter: 55 train_iter_loss: 0.314138 learn_rate: 0.001000 
epoch: 2 iter: 56 train_iter_loss: 0.320973 learn_rate: 0.001000 
epoch: 2 iter: 57 train_iter_loss: 0.286008 learn_rate: 0.001000 
epoch: 2 iter: 58 train_iter_loss: 0.257716 learn_rate: 0.001000 
epoch: 2 iter: 59 train_iter_loss: 0.313680 learn_rate: 0.001000 
epoch: 2 iter: 60 train_iter_loss: 0.282122 learn_rate: 0.001000 
epoch: 2 iter: 61 train_iter_loss: 0.297578 learn_rate: 0.001000 
epoch: 2 iter: 62 train_iter_loss: 0.296178 learn_rate: 0.001000 
epoch: 2 iter: 63 train_iter_loss: 0.314682 learn_rate: 0.001000 
epoch: 2 iter: 64 train_iter_loss: 0.311984 learn_rate: 0.001000 
epoch: 2 iter: 65 train_iter_loss: 0.280129 learn_rate: 0.001000 
epoch: 2 iter: 66 train_iter_loss: 0.286089 learn_rate: 0.001000 
epoch: 2 iter: 67 train_iter_loss: 0.318101 learn_rate: 0.001000 
epoch: 2 iter: 68 train_iter_loss: 0.289121 learn_rate: 0.001000 
epoch: 2 iter: 69 train_iter_loss: 0.300695 learn_rate: 0.001000 
epoch: 2 iter: 70 train_iter_loss: 0.272836 learn_rate: 0.001000 
epoch: 2 iter: 71 train_iter_loss: 0.319815 learn_rate: 0.001000 
epoch: 2 iter: 72 train_iter_loss: 0.296755 learn_rate: 0.001000 
epoch: 2 iter: 73 train_iter_loss: 0.311615 learn_rate: 0.001000 
epoch: 2 iter: 74 train_iter_loss: 0.330327 learn_rate: 0.001000 
epoch: 2 iter: 75 train_iter_loss: 0.296893 learn_rate: 0.001000 
epoch: 2 iter: 76 train_iter_loss: 0.280035 learn_rate: 0.001000 
epoch: 2 iter: 77 train_iter_loss: 0.316204 learn_rate: 0.001000 
epoch: 2 iter: 78 train_iter_loss: 0.341447 learn_rate: 0.001000 
epoch: 2 train_epoch_loss: 0.275995 learn_rate: 0.001000 test_p: 0.138889 test_r: 0.366667 test_f: 0.200000
epoch: 3 iter: 1 train_iter_loss: 0.265504 learn_rate: 0.001000 
epoch: 3 iter: 2 train_iter_loss: 0.294223 learn_rate: 0.001000 
epoch: 3 iter: 3 train_iter_loss: 0.281387 learn_rate: 0.001000 
epoch: 3 iter: 4 train_iter_loss: 0.293887 learn_rate: 0.001000 
epoch: 3 iter: 5 train_iter_loss: 0.281793 learn_rate: 0.001000 
epoch: 3 iter: 6 train_iter_loss: 0.309342 learn_rate: 0.001000 
epoch: 3 iter: 7 train_iter_loss: 0.296978 learn_rate: 0.001000 
epoch: 3 iter: 8 train_iter_loss: 0.298929 learn_rate: 0.001000 
epoch: 3 iter: 9 train_iter_loss: 0.316989 learn_rate: 0.001000 
epoch: 3 iter: 10 train_iter_loss: 0.311553 learn_rate: 0.001000 
